"disease","overview","symptoms","cautions","medications","prevention","treatment"
"Common Cold","A mild viral upper respiratory infection causing nasal and throat symptoms; self-limiting in most people.","runny nose; sore throat; cough; sneezing; mild fever; nasal congestion","Avoid spreading to vulnerable people; rest and hydration; seek care if high fever or breathing difficulty","Symptomatic: analgesics/antipyretics (as needed), decongestants, throat lozenges (use as directed)","Hand hygiene; avoid close contact with sick people; respiratory etiquette; stay home when symptomatic","Rest; fluids; symptomatic relief; monitor for bacterial complications; seek medical care for severe or prolonged symptoms"
"Influenza (Flu)","An acute viral respiratory illness caused by influenza viruses; can cause seasonal outbreaks and severe disease in high-risk groups.","sudden fever; chills; cough; sore throat; muscle aches; fatigue; headache","High-risk groups (elderly, pregnant, immunocompromised) should seek early care; watch for breathing difficulty or rapid deterioration","Antivirals (oseltamivir/zanamivir) when prescribed early; supportive care (antipyretics, fluids)","Annual influenza vaccination; hand hygiene; avoid sick contacts; cough etiquette","Antiviral therapy when indicated and started early; supportive care; hospitalization if severe respiratory compromise"
"COVID-19","Respiratory illness caused by SARS-CoV-2, with a range from mild to severe disease and potential systemic effects.","fever; cough; shortness of breath; fatigue; loss of taste or smell; sore throat; myalgia","Isolate when positive; protect vulnerable individuals; seek immediate care for breathing difficulty or chest pain","Supportive care; antivirals or other agents per guidelines when indicated; symptomatic medications","Vaccination; masks in high-risk settings; ventilation; hand hygiene; testing and isolation when exposed or symptomatic","Supportive care; guided by severity—home isolation for mild cases, antivirals/monoclonals per protocol, oxygen/hospital care for severe disease"
"Strep Throat","Bacterial pharyngitis usually caused by Group A Streptococcus; presents with sore throat and fever.","sore throat (severe); fever; tender cervical lymph nodes; tonsillar exudates; absence of cough","Confirm with rapid antigen test or culture before antibiotics; untreated can lead to complications like rheumatic fever","Antibiotics (e.g., penicillin or amoxicillin) when bacterial infection confirmed; analgesics for symptom relief","Avoid sharing utensils; hand hygiene; stay home until 24 hours after antibiotics start","Antibiotic therapy when indicated; supportive analgesia and hydration; follow-up if symptoms worsen"
"Pneumonia","Infection of the lung parenchyma that can be caused by bacteria, viruses, or fungi; severity varies widely.","fever; productive cough; shortness of breath; chest pain; fatigue","Seek urgent care for high fever, rapid breathing, chest pain, or low oxygen levels","Antibiotics for bacterial causes; antivirals for specific viral causes when indicated; supportive care (oxygen if needed)","Vaccination (influenza, pneumococcal where indicated); smoking cessation; hand hygiene; timely treatment of respiratory infections","Antibiotics for bacterial pneumonia guided by severity and likely pathogen; oxygen therapy and hospital care for severe cases; physiotherapy as needed"
"Tuberculosis","A chronic infectious disease caused by Mycobacterium tuberculosis, primarily affecting the lungs but can be systemic.","persistent cough (>2 weeks); weight loss; night sweats; fever; hemoptysis","TB is contagious—notify public health; adhere strictly to long-term treatment to prevent resistance","Long-course anti-tubercular therapy (multiple drugs under programmatic supervision)","Screening in high-risk groups; BCG vaccination in some regions; airborne precautions when infectious","Long-term multi-drug therapy under medical supervision; public health reporting and contact tracing"
"Bronchitis (Acute)","Inflammation of the bronchi, commonly viral; presents with cough and sometimes sputum production.","cough (productive or dry); chest discomfort; mild fever; wheeze in some cases","Seek care if high fever, difficulty breathing, or symptoms lasting >3 weeks","Symptomatic care: bronchodilators for wheeze, cough suppressants if needed, analgesics","Avoid smoking; hand hygiene; vaccination for influenza to reduce risk","Supportive care (rest, fluids, bronchodilators if wheezy); antibiotics only if bacterial infection suspected"
"Asthma","A chronic inflammatory airway disease causing variable airflow obstruction and bronchospasm, often triggered by allergens or infections.","wheezing; shortness of breath; chest tightness; coughing (worse at night or early morning)","Have an action plan for attacks; seek emergency care for severe breathing difficulty or cyanosis","Inhaled bronchodilators (short-acting), inhaled corticosteroids for control, leukotriene modifiers as prescribed","Avoid known triggers (allergens, smoke); inhaler technique education; allergy control; vaccination","Controller therapy with inhaled corticosteroids and reliever inhalers for exacerbations; action plan and specialist review for uncontrolled asthma"
"Chronic Obstructive Pulmonary Disease (COPD)","A progressive lung disease (emphysema and chronic bronchitis) linked to smoking and other exposures, causing airflow limitation.","chronic cough with sputum; progressive dyspnea; wheeze; frequent respiratory infections","Smoking cessation is critical; vaccinations recommended; seek care for acute exacerbations","Bronchodilators (short/long acting), inhaled corticosteroids in selected patients, oxygen therapy for hypoxemia","Avoid smoking and pollutants; pulmonary rehabilitation; influenza and pneumococcal vaccination","Smoking cessation, bronchodilator therapy, pulmonary rehab, long-term oxygen in advanced disease, antibiotics/steroids for exacerbations"
"Allergic Rhinitis","An allergic inflammation of the nasal mucosa triggered by allergens such as pollen or dust mites.","sneezing; nasal congestion; itchy/runny nose; itchy eyes; post-nasal drip","Avoid known allergens; seek care if breathing difficulty or severe sinus symptoms","Antihistamines; intranasal corticosteroids; nasal saline rinses","Allergen avoidance; hypoallergenic bedding; nasal hygiene; immunotherapy for selected patients","Antihistamines and intranasal steroids for symptom control; allergen immunotherapy when indicated"
