Disease,Overview,Symptoms,Causes,Treatments,Medications
Diabetes,"A metabolic disorder characterized by high blood glucose resulting from impaired insulin production and/or action; includes type 1, type 2, and gestational diabetes.","Frequent urination, Increased thirst, Unexplained weight loss or gain, Fatigue, Blurred vision","Type 1: autoimmune beta-cell destruction; Type 2: insulin resistance + beta-cell dysfunction; genetic factors, obesity, sedentary lifestyle","Lifestyle modification (diet, exercise, weight loss), blood glucose monitoring, diabetes education, insulin therapy when required, manage complications","Metformin, Insulin, Sulfonylureas (e.g., glibenclamide), SGLT2 inhibitors, DPP-4 inhibitors"
Hypertension,"A chronic condition with persistently elevated arterial blood pressure that increases risk of heart disease, stroke, and kidney disease.","Often asymptomatic; may cause headaches, dizziness, nosebleeds, shortness of breath in severe cases","Age, high salt intake, obesity, sedentary lifestyle, genetics, excessive alcohol, some medications","Lifestyle changes (salt reduction, weight loss, exercise), regular BP monitoring, treat secondary causes, pharmacologic therapy when indicated","ACE inhibitors (e.g., lisinopril), ARBs, Calcium channel blockers, Beta blockers, Diuretics"
Asthma,"A chronic inflammatory disease of the airways causing episodic wheeze, breathlessness, chest tightness and cough, often triggered by allergens or irritants.","Shortness of breath, Wheeze, Chest tightness, Cough (worse at night/early morning)","Allergic sensitization, viral respiratory infections, air pollution, exercise, occupational exposures, genetic predisposition","Identify and avoid triggers, inhaled short-acting bronchodilators for relief, inhaled corticosteroids for control, asthma action plan, immunotherapy for allergic asthma","Short-acting beta-agonists (albuterol/salbutamol), Inhaled corticosteroids (fluticasone), Long-acting bronchodilators for control (LABA) combined with steroids"
Malaria,"A parasitic infection caused by Plasmodium species transmitted via Anopheles mosquitoes; ranges from mild febrile illness to severe life-threatening disease.","Fever (often cyclical), Chills, Sweating, Headache, Muscle aches, Fatigue, Nausea","Infection with Plasmodium falciparum, vivax, ovale, malariae via mosquito bite; travel to endemic areas","Prompt parasitological diagnosis (RDT or microscopy), antimalarial therapy appropriate to species and resistance patterns, supportive care (fluids, antipyretics), prevention (bed nets, chemoprophylaxis)","Artemisinin-based combination therapies (ACTs), Chloroquine (where sensitive), Primaquine for hypnozoites (P. vivax/ovale) under guidance"
Migraine,"A recurrent headache disorder with moderate-to-severe head pain often accompanied by nausea and sensitivity to light/noise; may have aura.","Throbbing/one-sided headache, Nausea/vomiting, Photophobia, Phonophobia, Aura (visual or sensory) in some","Genetic predisposition, neuronal hyperexcitability, trigger factors (sleep changes, foods, stress, hormonal changes)","Acute treatment (analgesics, triptans), avoid triggers, preventive therapy for frequent attacks, lifestyle measures (sleep, hydration)","Triptans (sumatriptan), NSAIDs (ibuprofen), Antiemetics (metoclopramide); preventive: beta-blockers, topiramate, amitriptyline"
Tuberculosis,"A contagious bacterial infection caused by Mycobacterium tuberculosis, primarily affecting the lungs but can be extrapulmonary; requires long multi-drug therapy.","Persistent cough (>2–3 weeks), Weight loss, Night sweats, Fever, Hemoptysis (sometimes)","Airborne transmission from an infectious person; risk increased by immunosuppression, malnutrition, crowded living conditions","Confirmed diagnosis (microscopy, GeneXpert, culture), multi-drug antibiotic regimen with adherence support, contact tracing, supportive care","First-line: Isoniazid, Rifampicin, Pyrazinamide, Ethambutol (combination regimens per guidelines)"
COVID-19,"An infectious respiratory illness caused by SARS-CoV-2 with a wide spectrum from asymptomatic infection to severe pneumonia and multi-organ failure.","Fever, Cough, Shortness of breath, Fatigue, Loss of taste or smell, Myalgias, Sore throat","Infection with SARS-CoV-2 transmitted via respiratory droplets/aerosols and contaminated surfaces","Supportive care for mild cases, oxygen and hospital-level care for severe disease, thrombosis prophylaxis in hospitalised patients, follow public health measures and vaccination","Symptomatic: Paracetamol; Antivirals (e.g., remdesivir) for select hospitalized patients; corticosteroids (dexamethasone) for severe/critical illness per guidelines"
Pneumonia,"Infection of lung alveoli leading to cough, fever and breathing difficulty; caused by bacteria, viruses, or fungi.","Cough (productive or dry), Fever, Shortness of breath, Chest pain (pleuritic), Fatigue","Bacterial pathogens (e.g., Streptococcus pneumoniae), viral (influenza, SARS-CoV-2), aspiration, impaired immunity","Assess severity (outpatient vs inpatient), antibiotics for bacterial causes, antivirals if indicated, oxygen therapy, fluids and supportive care","Common antibiotics: Amoxicillin, Azithromycin, Doxycycline; selection guided by local guidelines and severity"
Anemia,"A condition marked by low hemoglobin or red blood cell count, causing reduced oxygen delivery to tissues.","Fatigue, Weakness, Pallor, Shortness of breath, Dizziness, Palpitations","Iron deficiency (most common), chronic blood loss, hemolysis, vitamin B12 or folate deficiency, chronic disease","Treat underlying cause, iron/B12/folate supplementation where indicated, transfusion for severe symptomatic anemia, manage chronic disease","Ferrous sulfate (iron), Folic acid, Vitamin B12 (cyanocobalamin); erythropoiesis-stimulating agents in selected chronic cases"
Dengue,"A mosquito-borne viral illness that ranges from mild febrile disease to severe dengue with plasma leakage and hemorrhage.","High fever, Severe headache (often retro-orbital), Severe muscle/joint pain, Rash, Bleeding (in severe forms), Abdominal pain","Infection with dengue virus (four serotypes) transmitted by Aedes mosquitoes","Supportive management with careful fluid balance, monitoring for warning signs of severe dengue, hospitalize severe cases, avoid NSAIDs","Paracetamol for fever and pain; IV fluids for dehydration; avoid aspirin/NSAIDs if bleeding risk"
